Title,Year
Hotel Rwanda,2004
The Hunting of the President,2004
I Heart Huckabees,2004
"I, Robot",2004
Imaginary Heroes,2004
The Incredibles,2004
In Good Company,2004
Jailbait,2004
Jandek on Corwood,2004
Jersey Girl,2004
Johnson Family Vacation,2004
Keane,2004
Kill Bill: Volume 2,2004
King Arthur,2004
Kinsey,2004
Knots,2004
Ladder 49,2004
The Ladykillers,2004
The Land Has Eyes,2004
The Last Shot,2004
Lemony Snicket's A Series of Unfortunate Events,2004
The Life and Death of Peter Sellers,2004
The Life Aquatic with Steve Zissou,2004
Little Black Book,2004
A Love Song for Bobby Long,2004
Man on Fire,2004
The Manchurian Candidate,2004
Maria Full of Grace,2004
Mean Creek,2004
Mean Girls,2004
Meet the Fockers,2004
The Merchant of Venice,2004
Melinda and Melinda,2004
Million Dollar Baby,2004
Mindbenders,2004
Mindhunters,2004
Miracle,2004
The Misbehavers,2004
Modigliani,2004
Mojados: Through the Night,2004
Mondovino,2004
The Motorcycle Diaries,2004
Mr. 3000,2004
My Baby's Daddy,2004
Mysterious Skin,2004
Napoleon Dynamite,2004
National Treasure,2004
Never Die Alone,2004
New York Minute,2004
Noel,2004
The Notebook,2004
November,2004
Ocean's Twelve,2004
Otaku Unite!,2004
P.S.,2004
Palindromes,2004
Paparazzi,2004
The Passion of the Christ,2004
The Perfect Score,2004
The Phantom of the Opera,2004
The Polar Express,2004
Primer,2004
The Prince and Me,2004
The Princess Diaries 2: Royal Engagement,2004
Proud,2004
The Punisher,2004
Raise Your Voice,2004
Raising Helen,2004
Ray,2004
Return to Sender,2004
Riding Giants,2004
Riding the Bullet,2004
Ripley's Game,2004
Saved!,2004
Saving Face,2004
Saw,2004
Scooby-Doo 2: Monsters Unleashed,2004
Secret Window,2004
Seed of Chucky,2004
Shall We Dance?,2004
Shark Tale,2004
She Hate Me,2004
Shrek 2,2004
Sideways,2004
Six: The Mark Unleashed,2004
Silver City,2004
Sky Captain and the World of Tomorrow,2004
Sleepover,2004
Metallica: Some Kind of Monster,2004
Soul Plane,2004
Spanglish,2004
Spartan,2004
Speak,2004
Spider-Man 2,2004
The SpongeBob SquarePants Movie,2004
Stage Beauty,2004
Starsky & Hutch,2004
Stateside,2004
The Stepford Wives,2004
Straight-Jacket,2004
Super Size Me,2004
SuperBabies: Baby Geniuses 2,2004
Surviving Christmas,2004
Suspect Zero,2004
Taking Lives,2004
Taxi,2004
Teacher's Pet,2004
Team America: World Police,2004
The Terminal,2004
Torque,2004
Troy,2004
Twisted,2004
Tying the Knot,2004
Undertow,2004
University Heights,2004
Van Helsing,2004
Vanity Fair,2004
A Very Long Engagement,2004
The Village,2004
Voces inocentes,2004
Voices of Iraq,2004
Walking Tall,2004
Wake of Death,2004
Watermarks,2004
We Don't Live Here Anymore,2004
Welcome to Mooseport,2004
When Will I Be Loved,2004
White Chicks,2004
The Whole Ten Yards,2004
Wicker Park,2004
Win a Date with Tad Hamilton!,2004
Winter Solstice,2004
With All Deliberate Speed,2004
Without a Paddle,2004
Woman Thou Art Loosed,2004
The Woodsman,2004
The Work and the Glory,2004
The Year of the Yao,2004
You Got Served,2004
The 40-Year-Old Virgin,2005
51 Birch Street,2005
The Adventures of Sharkboy and Lavagirl in 3-D,2005
Æon Flux,2005
Aliens of the Deep,2005
Alone in the Dark,2005
The Amityville Horror,2005
Are We There Yet?,2005
The Aristocrats,2005
Assault on Precinct 13,2005
Bad News Bears,2005
The Ballad of Jack and Rose,2005
Batman Begins,2005
The Baxter,2005
Be Cool,2005
Beauty Shop,2005
Because of Winn-Dixie,2005
Bee Season,2005
Bewitched,2005
Bigger Than the Sky,2005
Boogeyman,2005
Boynton Beach Club,2005
Brick,2005
Brokeback Mountain,2005
Broken Flowers,2005
The Brothers Grimm,2005
Capote,2005
Casanova,2005
The Cave,2005
Charlie and the Chocolate Factory,2005
Cheaper by the Dozen 2,2005
Chicken Little,2005
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005
The Chumscrubber,2005
Cinderella Man,2005
Coach Carter,2005
Constantine,2005
Corpse Bride,2005
The Crow: Wicked Prayer,2005
Cruel World,2005
Cry_Wolf,2005
Cursed,2005
Daltry Calhoun,2005
Dark Water,2005
Deepwater,2005
Derailed,2005
The Derby Stallion,2005
Deuce Bigalow: European Gigolo,2005
The Devil's Rejects,2005
Diary of a Mad Black Woman,2005
Dirty Love,2005
Dominion: Prequel to the Exorcist,2005
Domino,2005
Don't Come Knocking,2005
Doom,2005
Dreamer,2005
Duck,2005
The Dukes of Hazzard,2005
Duma,2005
The Dying Gaul,2005
Elektra,2005
Elizabethtown,2005
Enron: The Smartest Guys in the Room,2005
Everything Is Illuminated,2005
The Exorcism of Emily Rose,2005
The Family Stone,2005
Fantastic Four,2005
Favela Rising,2005
Fever Pitch,2005
First Descent,2005
Flightplan,2005
The Fog,2005
Forty Shades of Blue,2005
Four Brothers,2005
Frankenstein vs. the Creature from Blood Cove,2005
Fun with Dick and Jane,2005
The Game of Their Lives,2005
Get Rich or Die Tryin',2005
Getting Played,2005
Goal!,2005
The Gospel,2005
"Good Night, and Good Luck",2005
The Great Raid,2005
The Greatest Game Ever Played,2005
Green Street,2005
Grizzly Man,2005
Guess Who,2005
Happy Endings,2005
Harry Potter and the Goblet of Fire,2005
Her Minor Thing,2005
Herbie: Fully Loaded,2005
Hide and Seek,2005
A History of Violence,2005
Hitch,2005
The Hitchhiker's Guide to the Galaxy,2005
The Honeymooners,2005
Hoodwinked!,2005
Hostage,2005
Hostel,2005
House of D,2005
House of Wax,2005
Hustle & Flow,2005
The Ice Harvest,2005
Ice Princess,2005
In Her Shoes,2005
In the Mix,2005
Inside Deep Throat,2005
Intermedio,2005
The Interpreter,2005
Into the Blue,2005
The Island,2005
The Jacket,2005
Jarhead,2005
Junebug,2005
Just Friends,2005
Just Like Heaven,2005
Kicking & Screaming,2005
Kids in America,2005
King Kong,2005
King's Ransom,2005
Kingdom of Heaven,2005
Kiss Kiss Bang Bang,2005
The L.A. Riot Spectacular,2005
Land of the Dead,2005
Lassie,2005
Last Days,2005
The League of Gentlemen's Apocalypse,2005
The Legend of Zorro,2005
Lonesome Jim,2005
Long Distance,2005
The Longest Yard,2005
Lord of War,2005
Lords of Dogtown,2005
The Lost City,2005
A Lot Like Love,2005
Mad Hot Ballroom,2005
Madagascar,2005
The Man,2005
Man of the House,2005
Marilyn Hotchkiss' Ballroom Dancing and Charm School,2005
The Matador,2005
Match Point,2005
Me and You and Everyone We Know,2005
Memoirs of a Geisha,2005
MirrorMask,2005
Miss Congeniality 2: Armed and Fabulous,2005
Monster-in-Law,2005
The Mostly Unfabulous Social Life of Ethan Green,2005
Mr. & Mrs. Smith,2005
Mrs. Palfrey at the Claremont,2005
Munich,2005
Murderball,2005
Must Love Dogs,2005
Nanny McPhee,2005
Never Been Thawed,2005
The New World,2005
Neverwas,2005
New York Doll,2005
Nine Lives,2005
No Direction Home,2005
North Country,2005
Our Very Own,2005
The Pacifier,2005
The Perfect Man,2005
Pooh's Heffalump Movie,2005
Popstar,2005
Pretty Persuasion,2005
Prime,2005
"The Prize Winner of Defiance, Ohio",2005
The Producers,2005
Proof,2005
The Quiet,2005
Racing Stripes,2005
Rebound,2005
Red Eye,2005
Rent,2005
The Ring Two,2005
The Ringer,2005
Rize,2005
Robots,2005
Roll Bounce,2005
Rumor Has It...,2005
Sahara,2005
Sarah Silverman: Jesus Is Magic,2005
Saw II,2005
Serenity,2005
Shadowboxer,2005
Shopgirl,2005
Sin City,2005
The Sisterhood of the Traveling Pants,2005
The Sisters,2005
The Skeleton Key,2005
Sky High,2005
Smile,2005
Son of the Mask,2005
A Sound of Thunder,2005
The Squid and the Whale,2005
Star Wars: Episode III – Revenge of the Sith,2005
Stay,2005
Stealth,2005
Street Fight,2005
Supercross,2005
Syriana,2005
The Thing About My Folks,2005
The Three Burials of Melquiades Estrada,2005
Thru the Moebius Strip,2005
Thumbsucker,2005
Traci Townsend,2005
Transamerica,2005
Transporter 2,2005
Two for the Money,2005
Underclassman,2005
Undiscovered,2005
An Unfinished Life,2005
The Upside of Anger,2005
Venom,2005
Waiting...,2005
Walk the Line,2005
War of the Worlds,2005
The War Within,2005
The Weather Man,2005
Wedding Crashers,2005
The Wedding Date,2005
Where the Truth Lies,2005
White Noise,2005
Why We Fight,2005
The World's Fastest Indian,2005
xXx: State of the Union,2005
"Yours, Mine and Ours",2005
Zathura,2005
0.45,2006
10 Items or Less,2006
10th & Wolf,2006
16 Blocks,2006
29 Reasons to Run,2006
The 8th Plague,2006
9/Tenths,2006
a/k/a Tommy Chong,2006
Abominable,2006
Accepted,2006
After...,2006
Air Guitar Nation,2006
Akeelah and the Bee,2006
Al Franken: God Spoke,2006
The Alibi,2006
All the King's Men,2006
Alone with Her,2006
Amazing Grace,2006
America: Freedom to Fascism,2006
American Blackout,2006
American Dreamz,2006
American Hardcore,2006
Analog Days,2006
Andy Warhol: A Documentary Film,2006
Annapolis,2006
Another Gay Movie,2006
The Ant Bully,2006
Apocalypto,2006
Aquamarine,2006
The Architect,2006
Art School Confidential,2006
Artie Lange's Beer League,2006
As You Like It,2006
Asian Stories,2006
Ask the Dust,2006
The Astronaut Farmer,2006
ATL,2006
Automaton Transfusion,2006
Automatons,2006
Awesome; I Fuckin' Shot That!,2006
Babel,2006
Bambi II,2006
Barnyard,2006
Basic Instinct 2,2006
The Beach Party at the Threshold of Hell,2006
Beerfest,2006
Behind the Mask: The Rise of Leslie Vernon,2006
Bella,2006
The Benchwarmers,2006
Beyond Conviction,2006
Bickford Shmeckler's Cool Ideas,2006
The Big Bad Swim,2006
Big Bad Wolf,2006
Big Dreams Little Tokyo,2006
Big Momma's House 2,2006
Black Christmas,2006
The Black Dahlia,2006
Black Gold,2006
Blind Dating,2006
Blood Diamond,2006
Blood Tea and Red String,2006
Bloody Mary,2006
Bobby,2006
Borat! Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006
Bordertown,2006
Brand Upon the Brain!,2006
Breaking and Entering,2006
The Break-Up,2006
The Breed,2006
The Bridge,2006
Broken Bridges,2006
Busgirl,2006
Caffeine,2006
Cars,2006
Casino Royale,2006
Catch a Fire,2006
The Cats of Mirikitani,2006
Chalk,2006
Charlotte's Web,2006
Chasing the Horizon,2006
Children of Men,2006
Christmas at Maxwell's,2006
Church Ball,2006
Civic Duty,2006
"Clear Cut: The Story of Philomath, Oregon",2006
Clerks II,2006
Click,2006
Cocaine Cowboys,2006
Coffee Date,2006
Color of the Cross,2006
Come Early Morning,2006
The Contract,2006
Copying Beethoven,2006
The Covenant,2006
Crank,2006
Crossover,2006
Crude Impact,2006
Curious George,2006
The Curiosity of Chance,2006
The Da Vinci Code,2006
Daft Punk's Electroma,2006
Dance Party USA,2006
Danika,2006
Danny Roane: First Time Director,2006
Dark Corners,2006
Dark Ride,2006
The Darwin Awards,2006
Date Movie,2006
Dave Chappelle's Block Party,2006
Day Night Day Night,2006
Day on Fire,2006
The Dead Girl,2006
The Death of Poe,2006
Déjà Vu,2006
Deck the Halls,2006
Deliver Us from Evil,2006
The Departed,2006
The Devil and Daniel Johnston,2006
The Devil Wears Prada,2006
Diggers,2006
Disappearances,2006
Dixie Chicks: Shut Up and Sing,2006
DOA: Dead or Alive,2006
The Dog Problem,2006
Dreamgirls,2006
Dreamland,2006
Driftwood,2006
Disaster Zone: Volcano in New York,2006
East Side Story,2006
Employee of the Month,2006
Encounter Point,2006
End Game,2006
End of the Spear,2006
Eight Below,2006
Eragon,2006
Everyone's Hero,2006
Evil Bong,2006
Expiration Date,2006
Facing the Giants,2006
Factory Girl,2006
Failure to Launch,2006
The Fall,2006
The Fast and the Furious: Tokyo Drift,2006
Fast Food Nation,2006
Fatwa,2006
Fay Grim,2006
Fifty Pills,2006
Final Destination 3,2006
Find Me Guilty,2006
Firewall,2006
First Snow,2006
Flags of Our Fathers,2006
Flicka,2006
Flock of Dodos,2006
Flourish,2006
Flushed Away,2006
Flyboys,2006
For Your Consideration,2006
Forget About It,2006
The Fountain,2006
Freedomland,2006
Free Jimmy,2006
Friends with Money,2006
Full Grown Men,2006
Fur,2006
Game 6,2006
Garfield: A Tail of Two Kitties,2006
The Genius Club,2006
GI Jesus,2006
Glastonbury,2006
Glory Road,2006
God Grew Tired of Us,2006
The Good German,2006
The Good Shepherd,2006
A Good Year,2006
Goya's Ghosts,2006
Grandma's Boy,2006
The Great Warming,2006
Gridiron Gang,2006
The Groomsmen,2006
The Grudge 2,2006
The Guardian,2006
The Guatemalan Handshake,2006
A Guide to Recognizing Your Saints,2006
Half Nelson,2006
The Hamiltons,2006
Happy Feet,2006
The Hard Corps,2006
Harsh Times,2006
The Hawk Is Dying,2006
Header,2006
The Heart of Steel,2006
The Heart of the Game,2006
The Hills Have Eyes,2006
Hip-Hop: Beyond Beats and Rhymes,2006
The Holiday,2006
Hollywoodland,2006
Hollow Man 2,2006
Home of the Brave,2006
Hood of Horror,2006
Hoot,2006
The Hottest State,2006
How to Eat Fried Worms,2006
Hurricane on the Bayou,2006
I Want Someone to Eat Cheese With,2006
Ice Age: The Meltdown,2006
Idiocracy,2006
Idlewild,2006
The Illusionist,2006
An Inconvenient Truth,2006
Infamous,2006
Inland Empire,2006
Inside Man,2006
The Insurgents,2006
Invincible,2006
Interkosmos,2006
Iraq for Sale: The War Profiteers,2006
Iraq in Fragments,2006
Irish Jam,2006
It's a Boy Girl Thing,2006
Jackass Number Two,2006
Jack Smith and the Destruction of Atlantis,2006
Jesus Camp,2006
Jewish American Princess,2006
Jimmy and Judy,2006
John Tucker Must Die,2006
Jonestown: The Life and Death of Peoples Temple,2006
Just My Luck,2006
Kalamazoo?,2006
Karla,2006
Keeping Up with the Steins,2006
Kill Your Darlings,2006
Kurt Cobain About a Son,2006
Lady in the Water,2006
The Lake House,2006
Land of the Blind,2006
Larry the Cable Guy: Health Inspector,2006
The Last Kiss,2006
Last Holiday,2006
The Last Winter,2006
The Legend of Simon Conjurer,2006
Let's Go to Prison,2006
Letters from Iwo Jima,2006
Lime Salted Love,2006
Little Chenier,2006
Little Children,2006
Little Man,2006
Little Miss Sunshine,2006
Live Freaky! Die Freaky!,2006
Live Free or Die,2006
Local Color,2006
LOL,2006
Lonely Hearts,2006
The Long Weekend,2006
Loren Cass,2006
Loving Annabelle,2006
Lucky Number Slevin,2006
Mad Cowgirl,2006
Madea's Family Reunion,2006
Man About Town,2006
Man of the Year,2006
Marie Antoinette,2006
The Marine,2006
Mark of the Damned,2006
Material Girls,2006
Matthew Barney: No Restraint,2006
Maxed Out,2006
Miami Vice,2006
Mini's First Time,2006
Minotaur,2006
Miss Potter,2006
Modern Man,2006
Monster House,2006
The Monster of Phantom Lake,2006
Moonshine,2006
Mustang Sally,2006
"My Country, My Country",2006
Mission: Impossible III,2006
My Super Ex-Girlfriend,2006
Nacho Libre,2006
National Lampoon's Van Wilder: The Rise of Taj,2006
The Nativity Story,2006
Neil Young: Heart of Gold,2006
Night at the Museum,2006
The Night Listener,2006
Night of the Living Dead 3D,2006
The Night of the White Pants,2006
Nightmare Man,2006
No Limit,2006
O Jerusalem,2006
Occupation 101,2006
The Oh in Ohio,2006
Old Joy,2006
The Omen,2006
Once in a Lifetime: The Extraordinary Story of the New York Cosmos,2006
One Night with the King,2006
The One Percent,2006
Open Season,2006
Over the Hedge,2006
The Painted Veil,2006
Pan's Labyrinth,2006
Paper Dolls,2006
Park,2006
Peaceful Warrior,2006
Penelope,2006
Perfume: The Story of a Murderer,2006
Phat Girlz,2006
The Phobic,2006
The Pink Panther,2006
Pirates of the Caribbean: Dead Man's Chest,2006
Poseidon,2006
Poultrygeist: Night of the Chicken Dead,2006
The Power of Community: How Cuba Survived Peak Oil,2006
Premium,2006
The Prisoner or: How I Planned to Kill Tony Blair,2006
A Prairie Home Companion,2006
The Prestige,2006
"Puff, Puff, Pass",2006
Pulse,2006
The Pursuit of Happyness,2006
The Quick and the Undead,2006
Quick Pick,2006
Quinceañera,2006
The Rape of the Sabine Women,2006
Relative Strangers,2006
The Return,2006
Right at Your Door,2006
Robotech: The Shadow Chronicles,2006
Rocky Balboa,2006
Roman,2006
Romeo & Juliet: Sealed with a Kiss,2006
Room 6,2006
Rune,2006
Running Scared,2006
Running with Scissors,2006
RV,2006
...So Goes the Nation,2006
Sacco and Vanzetti,2006
The Santa Clause 3: The Escape Clause,2006
The Sasquatch Gang,2006
Saving Shiloh,2006
Saw III,2006
A Scanner Darkly,2006
Scary Movie 4,2006
School for Scoundrels,2006
Scoop,2006
Scott Walker: 30 Century Man,2006
The Second Chance,2006
Secret of the Cave,2006
See No Evil,2006
The Sentinel,2006
The Shaggy Dog,2006
Shark Bait,2006
She's the Man,2006
Sherrybaby,2006
Shortbus,2006
Shottas,2006
Silent Hill,2006
Simon Says,2006
Sleeping Dogs Lie,2006
Slither,2006
Small Town Gay Bar,2006
Snakes on a Plane,2006
Snow Blind,2006
So Much So Fast,2006
Something New,2006
Sonhos de Peixe,2006
Special,2006
Stalking Santa,2006
Starter for 10,2006
Stay Alive,2006
Step Up,2006
Stephanie Daley,2006
Stick It,2006
Stranger Than Fiction,2006
Stormbreaker,2006
Strawberry Shortcake: The Sweet Dreams Movie,2006
Subject Two,2006
Suicide Killers,2006
Superman Returns,2006
Swarm of the Snakehead,2006
Sweet Insanity,2006
Take the Lead,2006
Talladega Nights: The Ballad of Ricky Bobby,2006
The Teddy Bear Master,2006
Tenacious D in The Pick of Destiny,2006
The Texas Chainsaw Massacre: The Beginning,2006
Thank You for Smoking,2006
This Film Is Not Yet Rated,2006
Threat,2006
Tomorrow Is Today,2006
Trantasia,2006
Tristan & Isolde,2006
Trust the Man,2006
Turistas,2006
Two Weeks,2006
The U.S. vs. John Lennon,2006
Ultraviolet,2006
Unaccompanied Minors,2006
Underworld: Evolution,2006
Undoing,2006
Unidentified,2006
United 93,2006
Unrest,2006
V for Vendetta,2006
Vacationland,2006
Vanaja,2006
Waist Deep,2006
The War Tapes,2006
We Are Marshall,2006
When a Stranger Calls,2006
When I Came Home,2006
Who Killed the Electric Car?,2006
Wicked Little Things,2006
The Wicker Man,2006
The Wild,2006
The Woods,2006
Wordplay,2006
World Trade Center,2006
Wristcutters: A Love Story,2006
X-Men: The Last Stand,2006
Yellow,2006
Yeti: A Love Story,2006
"You, Me and Dupree",2006
Zoom,2006
Zyzzyx Road,2006
10 MPH,2007
The 11th Hour,2007
1408,2007
3:10 to Yuma,2007
30 Days of Night,2007
300,2007
Across the Universe,2007
Adrift in Manhattan,2007
Adventures of Johnny Tao,2007
Afghan Knights,2007
After Sex,2007
Alibi,2007
Alice Upside Down,2007
Aliens vs. Predator: Requiem,2007
All the Days Before Tomorrow,2007
Alvin and the Chipmunks,2007
An American Crime,2007
American Gangster,2007
American Pastime,2007
Americanizing Shelley,2007
Anamorph,2007
Aqua Teen Hunger Force Colon Movie Film for Theaters,2007
Arctic Tale,2007
Are We Done Yet?,2007
The Assassination of Jesse James by the Coward Robert Ford,2007
August Rush,2007
Autism: The Musical,2007
Awake,2007
Balls of Fury,2007
Because I Said So,2007
Bee Movie,2007
Before the Devil Knows You're Dead,2007
Believe,2007
Beowulf,2007
Beyond Belief,2007
Big Stan,2007
Blades of Glory,2007
Blonde Ambition,2007
The Blue Hour,2007
Blue State,2007
The Bourne Ultimatum,2007
Bratz: The Movie,2007
The Brave One,2007
Breach,2007
Bridge to Terabithia,2007
Broken English,2007
Brooklyn Rules,2007
Brotherhood of Blood,2007
The Brothers Solomon,2007
The Bucket List,2007
Cake: A Wedding Story,2007
Captivity,2007
Care Bears: Oopsy Does It!,2007
Cassandra's Dream,2007
Catacombs,2007
Chapter 27,2007
Charlie Wilson's War,2007
Chicago 10,2007
Code Name: The Cleaner,2007
The Comebacks,2007
The Condemned,2007
Control,2007
Crazy Love,2007
Cthulhu,2007
Daddy Day Camp,2007
Daddy's Little Girls,2007
Dalai Lama Renaissance,2007
Dan in Real Life,2007
Darfur Now,2007
Dark Matter,2007
Day Zero,2007
Dead Silence,2007
Death Sentence,2007
Delta Farce,2007
Devil Girl,2007
Dirty Country,2007
Disturbia,2007
The Diving Bell and the Butterfly,2007
Eastern Promises,2007
Ed Gein: The Butcher of Plainfield,2007
Elvis and Anabelle,2007
Enchanted,2007
Epic Movie,2007
Evan Almighty,2007
Evening,2007
The Ex,2007
Extreme Movie,2007
Fantastic Four: Rise of the Silver Surfer,2007
Feel the Noise,2007
Finishing the Game,2007
Firehouse Dog,2007
The Flock,2007
For the Bible Tells Me So,2007
Fracture,2007
Freakshow,2007
Fred Claus,2007
Freedom Writers,2007
Full of It,2007
The Game Plan,2007
The Gene Generation,2007
Georgia Rule,2007
Ghost Rider,2007
Ghosts of Abu Ghraib,2007
The Girl in the Park,2007
Glass Lips,2007
The Go-Getter,2007
God's Ears,2007
The Golden Compass,2007
Gone Baby Gone,2007
Good Luck Chuck,2007
The Good Night,2007
Grace Is Gone,2007
Gracie,2007
The Great Debaters,2007
Grindhouse,2007
Hairspray,2007
Halloween,2007
The Hammer,2007
Happily N'Ever After,2007
Harry Potter and the Order of the Phoenix,2007
Hear and Now,2007
The Heartbreak Kid,2007
Highlander: The Source,2007
The Hills Have Eyes 2,2007
The Hitcher,2007
Hitman,2007
The Hoax,2007
Honeydripper,2007
Hostel: Part II,2007
Hot Rod,2007
The Hunting Party,2007
I Am an American Soldier,2007
I Am Legend,2007
I Could Never Be Your Woman,2007
I Know Who Killed Me,2007
I Now Pronounce You Chuck and Larry,2007
I Think I Love My Wife,2007
I'm Not There,2007
In the Land of Women,2007
In the Valley of Elah,2007
Interview,2007
Into the Wild,2007
The Invasion,2007
The Invisible,2007
Itty Bitty Titty Committee,2007
Joshua,2007
Juno,2007
Kickin' It Old Skool,2007
Killing Zelda Sparks,2007
The King of Kong: A Fistful of Quarters,2007
King of Punk,2007
The Kingdom,2007
The Kite Runner,2007
Knock Knock,2007
Knocked Up,2007
Lady Magdalene's,2007
Lake of Fire,2007
Lars and the Real Girl,2007
The Last Mimzy,2007
The Last Sin Eater,2007
License to Wed,2007
The Life Before Her Eyes,2007
Lions for Lambs,2007
The List,2007
Live Free or Die Hard,2007
The Lookout,2007
Love in the Time of Cholera,2007
Lucky You,2007
"Lust, Caution",2007
Manda Bala (Send a Bullet),2007
Margot at the Wedding,2007
Marigold,2007
Married Life,2007
Martian Child,2007
Meet the Robinsons,2007
The Messengers,2007
Michael Clayton,2007
A Mighty Heart,2007
The Mist,2007
Mister Lonely,2007
A Modern Twain Story: The Prince and the Pauper,2007
Monster Camp,2007
The Mother of Tears,2007
Moving McAllister,2007
Mr. Brooks,2007
Mr. Magorium's Wonder Emporium,2007
Mr. Schneider Goes to Washington,2007
Mr. Woodcock,2007
Mr. Untouchable,2007
Music and Lyrics,2007
My Bollywood Bride,2007
My Sexiest Year,2007
Nancy Drew,2007
Nanking,2007
The Nanny Diaries,2007
National Treasure: Book of Secrets,2007
Netherbeast Incorporated,2007
Next,2007
The Nines,2007
No Country for Old Men,2007
No End in Sight,2007
No Reservations,2007
Nobel Son,2007
Norbit,2007
Normal Adolescent Behavior,2007
Numb,2007
The Number 23,2007
Ocean's Thirteen,2007
"Oh, Saigon",2007
Only for You,2007
Operation Homecoming: Writing the Wartime Experience,2007
P.S. I Love You,2007
P2,2007
Padre Nuestro,2007
Paranoid Park,2007
Passage to Zarahemla,2007
Pathfinder,2007
The Perfect Holiday,2007
Perfect Stranger,2007
Persepolis,2007
Pirates of the Caribbean: At World's End,2007
The Poughkeepsie Tapes,2007
Premonition,2007
Press Start,2007
Pride,2007
Primeval,2007
Ratatouille,2007
The Reaping,2007
Redline,2007
Redrum,2007
Reign Over Me,2007
Remember the Daze,2007
Rendition,2007
Reno 911!: Miami,2007
Reservation Road,2007
Resident Evil: Extinction,2007
Resurrecting the Champ,2007
Rocket Science,2007
Rolling,2007
Rush Hour 3,2007
Savage Grace,2007
The Savages,2007
Saw IV,2007
The Seeker,2007
Seraphim Falls,2007
Shadow Puppets,2007
Shoot 'Em Up,2007
Shooter,2007
ShowBusiness: The Road to Broadway,2007
Shrek the Third,2007
Sicko,2007
The Simpsons Movie,2007
Sinner,2007
Sinners,2007
Sleuth,2007
Slipstream,2007
Smiley Face,2007
Smokin' Aces,2007
Socket,2007
Spider-Man 3,2007
Spiral,2007
Stardust,2007
The Star of Bethlehem,2007
Starting Out in the Evening,2007
A State of Vine,2007
Still Green,2007
Stomp the Yard,2007
Strange Culture,2007
Stuck,2007
Suburban Girl,2007
Suffering Man's Charity,2007
Sunshine,2007
Superbad,2007
Surf's Up,2007
Sweeney Todd: The Demon Barber of Fleet Street,2007
Sydney White,2007
Talk to Me,2007
Taxi to the Dark Side,2007
The Ten,2007
There Will Be Blood,2007
Things We Lost in the Fire,2007
TMNT,2007
Transformers,2007
Underdog,2007
Vacancy,2007
Viva,2007
Waitress,2007
Walk Hard: The Dewey Cox Story,2007
War,2007
War/Dance,2007
The Water Horse: Legend of the Deep,2007
We Are the Strange,2007
Welcome to Nollywood,2007
We Own the Night,2007
What Love Is,2007
What We Do Is Secret,2007
Whisper,2007
White Noise: The Light,2007
Who's Your Caddy?,2007
Why Did I Get Married?,2007
Wild Hogs,2007
Wind Chill,2007
Year of the Dog,2007
Year of the Fish,2007
You Kill Me,2007
Youth Without Youth,2007
Zodiac,2007
"10,000 BC",2008
21,2008
27 Dresses,2008
88 Minutes,2008
The Accidental Husband,2008
An American Carol,2008
American Teen,2008
Appaloosa,2008
August,2008
Baby Mama,2008
Babylon A.D.,2008
Ballast,2008
Bangkok Dangerous,2008
Be Kind Rewind,2008
Bedtime Stories,2008
Beer for My Horses,2008
The Betrayal - Nerakhoon,2008
Beverly Hills Chihuahua,2008
Body of Lies,2008
Bolt,2008
The Boy in the Striped Pyjamas,2008
The Brothers Bloom,2008
Burn After Reading,2008
Cadillac Records,2008
Changeling,2008
Chaos Theory,2008
Che,2008
Choke,2008
The Chronicles of Narnia: Prince Caspian,2008
City of Ember,2008
Cloverfield,2008
College,2008
College Road Trip,2008
The Curious Case of Benjamin Button,2008
The Dark Knight,2008
The Day the Earth Stood Still,2008
Deal,2008
The Deal,2008
Death Race,2008
Deception,2008
Defiance,2008
"Definitely, Maybe",2008
Delgo,2008
Disaster Movie,2008
Doomsday,2008
Doubt,2008
Drillbit Taylor,2008
Eagle Eye,2008
Elegy,2008
Expelled: No Intelligence Allowed,2008
The Express: The Ernie Davis Story,2008
The Eye,2008
The Family That Preys,2008
Felon,2008
Fireflies in the Garden,2008
Fireproof,2008
First Sunday,2008
Flash of Genius,2008
Fool's Gold,2008
The Forbidden Kingdom,2008
Forever Strong,2008
Forgetting Sarah Marshall,2008
Four Christmases,2008
Frost/Nixon,2008
Frozen River,2008
Funny Games,2008
The Garden,2008
Garden Party,2008
Get Smart,2008
Ghost Town,2008
Gran Torino,2008
Hamlet 2,2008
Hancock,2008
Hannah Montana & Miley Cyrus: Best of Both Worlds Concert,2008
The Happening,2008
Harold,2008
Harold & Kumar Escape from Guantanamo Bay,2008
The Haunting of Molly Hartley,2008
Hellboy II: The Golden Army,2008
Henry Poole Is Here,2008
Hero Wanted,2008
High School Musical 3: Senior Year,2008
Horton Hears a Who!,2008
The Hottie and the Nottie,2008
The House Bunny,2008
Igor,2008
In Bruges,2008
The Incredible Hulk,2008
Indiana Jones and the Kingdom of the Crystal Skull,2008
Inkheart,2008
Iron Man,2008
Journey to the Center of the Earth,2008
Jumper,2008
Kit Kittredge: An American Girl,2008
Kung Fu Panda,2008
Lakeview Terrace,2008
Last Chance Harvey,2008
Leatherheads,2008
The Love Guru,2008
The Longshots,2008
The Lucky Ones,2008
Mad Money,2008
Madagascar: Escape 2 Africa,2008
Made of Honor,2008
